id,loc,year,penned,free
CN336K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN336K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN338K,P,2015,2015-03-18 UTC--2015-07-24 UTC,2015-07-24 UTC--2016-03-15 UTC
CN338K,P,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN338K,W,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN338K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN338K,P,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN338K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN338K,P,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN346K,P,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN346K,P,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN346K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN346K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN346K,P,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN346K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN347K,P,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN347K,W,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN347K,P,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN347K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN347K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN347K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN348S,P,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN348S,P,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN348S,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN348S,P,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN348S,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN348S,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN349S,W,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN349S,W,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN349S,P,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN349S,P,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN349S,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN349S,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN350K,W,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN350K,W,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN350K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN350K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN350K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN350K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN341K,P,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN341K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN341K,P,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN341K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN341K,P,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN364K,P,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN364K,P,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN364K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN364K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN364K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN365S,P,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN365S,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN365S,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN365S,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN365S,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN366K,P,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN366K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN366K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN366K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN366K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN372K,P,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN372K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
