Sex	agecl	rstart_dat	rend_dat	animal_id	mortcaus
F	A	16-Mar-13	16-Mar-13	CN301Ta	FADE
F	A	16-Mar-13	16-Mar-13	CN302Ta	FADE
F	A	17-Mar-13	17-Mar-13	CN303Ta	FADE
F	A	17-Mar-13	17-Mar-13	CN304Ta	FADE
F	A	18-Mar-13	18-Mar-13	CN305Ta	FADE
F	A	18-Mar-13	18-Mar-13	CN306Ta	FADE
F	A	18-Mar-13	18-Mar-13	CN307Ta	FADE
F	A	19-Mar-13	19-Mar-13	CN308Ta	FADE
F	A	19-Mar-13	19-Mar-13	CN309Ta	FADE
F	A	19-Mar-13	19-Mar-13	CN310Ta	FADE
F	A	18-Mar-11	31-Mar-21	CN311Ka	FADE
F	A	27-Mar-14	31-Mar-21	CN312Ka	FADE
F	A	27-Mar-14	31-Mar-21	CN313Ka	FADE
F	A	18-Jan-13	09-Feb-18	CN314Ka	DEAD
F	A	27-Mar-14	31-Mar-21	CN315Sa	FADE
F	A	27-Mar-14	20-Apr-16	CN316Sa	DEAD
F	A	27-Mar-14	31-Mar-21	CN317Sa	FADE
F	A	18-Jan-13	20-Dec-14	CN318Sa	DEAD
F	A	28-Mar-14	31-Mar-21	CN319Ka	FADE
F	A	28-Mar-14	10-Jul-14	CN320Sa	DEAD
F	A	18-Mar-15	15-Jul-17	CN331Ka	DEAD
F	A	18-Mar-15	08-Dec-20	CN332Ka	DEAD
F	A	18-Mar-15	31-Mar-21	CN333Ka	FADE
F	A	29-Mar-11	30-Jan-17	CN334Ka	DEAD
F	A	18-Mar-15	31-Mar-21	CN335Ka	FADE
F	A	18-Mar-15	08-Dec-19	CN336Ka	DEAD
F	A	23-Mar-13	03-Oct-18	CN337Sa	DEAD
F	A	24-Mar-15	31-Mar-21	CN338Ka	FADE
F	A	23-Mar-17	31-Mar-21	CN341Ka	FADE
F	A	13-Mar-19	20-Aug-20	CN343Sa	DEAD
F	A	16-Mar-16	31-Mar-21	CN346Ka	FADE
F	A	16-Mar-16	15-Dec-18	CN347Ka	DEAD
F	A	16-Mar-16	10-Mar-20	CN348Sa	DEAD
F	A	16-Mar-16	31-Mar-21	CN349Sa	FADE
F	A	17-Mar-16	30-Jan-17	CN350Ka	DEAD
F	A	23-Mar-13	30-Jan-17	CN352Sa	DEAD
F	A	22-Dec-18	31-Mar-21	CN355Ka	FADE
F	A	22-Dec-18	31-Mar-21	CN356Ka	FADE
F	A	12-Mar-19	20-Mar-19	CN360Ka	DEAD
F	A	23-Mar-17	19-Aug-19	CN364Ka	DEAD
F	A	23-Mar-17	03-Sep-18	CN365Sa	DEAD
F	A	23-Mar-17	24-Aug-17	CN366Ka	DEAD
F	A	13-Mar-19	31-Mar-21	CN369Ka	FADE
F	A	14-Mar-20	31-Mar-21	CN374Sa	FADE
F	A	17-Mar-20	31-Mar-21	CN384Ka	FADE
F	A	08-Mar-18	13-Oct-20	CN387Ca	FADE
F	A	08-Mar-18	31-Mar-21	CN388Ca	FADE
F	A	09-Mar-18	31-Mar-21	CN389Ca	FADE
F	A	09-Mar-18	13-Jun-18	CN390Ca	FADE
F	A	09-Mar-18	31-Mar-21	CN391Ca	FADE
F	A	09-Mar-18	22-Jun-20	CN392Ca	FADE
F	A	09-Mar-18	28-Mar-19	CN393Ca	FADE
F	A	09-Mar-18	10-Jan-21	CN394Ca	FADE
F	A	10-Mar-18	28-Jan-20	CN395Ca	FADE
F	A	10-Mar-18	31-Mar-21	CN396Ca	FADE
F	A	10-Mar-18	31-Mar-21	CN397Ca	FADE
F	A	10-Mar-18	31-Mar-21	CN398Ca	FADE
F	A	10-Mar-18	18-May-19	CN399Ca	FADE
F	A	10-Mar-18	05-Dec-18	CN400Ca	FADE
F	A	10-Mar-18	28-Feb-20	CN401Ca	FADE
F	A	10-Mar-18	31-Mar-21	CN402Ca	FADE
F	A	11-Mar-18	31-Mar-21	CN403Ca	FADE
F	A	11-Mar-18	31-Mar-21	CN404Ca	FADE
F	A	11-Mar-18	31-Mar-21	CN405Ca	FADE
F	A	11-Mar-18	20-Mar-18	CN406Ca	FADE
F	A	11-Mar-18	31-Mar-21	CN407Ca	FADE
F	A	11-Mar-18	31-Mar-21	CN408Ca	FADE
F	A	11-Mar-18	05-Feb-19	CN409Ca	FADE
F	A	04-Dec-18	31-Mar-21	CN410Ca	FADE
F	A	05-Dec-18	31-Mar-21	CN411Ca	FADE
F	A	05-Dec-18	31-Mar-21	CN412Ca	FADE
F	A	05-Dec-18	23-Jan-20	CN413Ca	FADE
F	A	06-Dec-18	31-Mar-21	CN414Ca	FADE
F	A	06-Dec-18	12-Aug-19	CN415Ca	FADE
F	A	06-Dec-18	31-Mar-21	CN416Ca	FADE
F	A	06-Dec-18	28-Aug-20	CN417Ca	FADE
F	A	06-Dec-18	31-Mar-21	CN418Ca	FADE
F	A	07-Dec-18	31-Mar-21	CN419Ca	FADE
F	A	07-Dec-18	31-Mar-21	CN420Ca	FADE
F	A	07-Dec-18	02-Apr-19	CN421Ca	FADE
F	A	08-Dec-18	07-Apr-21	CN422Ca	FADE
F	A	08-Dec-18	31-Mar-21	CN423Ca	FADE
F	A	08-Dec-18	31-Mar-21	CN424Ca	FADE
F	A	08-Dec-18	31-Mar-21	CN425Ca	FADE
F	A	08-Dec-18	31-Mar-21	CN426Ca	FADE
F	A	08-Dec-18	31-Mar-21	CN427Ca	FADE
F	A	08-Dec-18	31-Mar-21	CN428Ca	FADE
F	A	14-Jan-19	31-Mar-21	CN429Ka	FADE
F	A	17-Jan-19	31-Mar-21	CN430Ka	FADE
F	A	12-Mar-19	31-Mar-21	CN431Ka	FADE
F	A	12-Mar-19	31-Mar-21	CN432Ka	FADE
F	A	28-Mar-19	07-Jan-20	CN433Sa	DEAD
F	A	28-Mar-19	31-Mar-21	CN434Sa	FADE
F	A	28-Mar-19	31-Mar-21	CN435Sa	FADE
F	A	11-Mar-20	31-Mar-21	CN453Ka	FADE
F	A	16-Mar-20	31-Mar-21	CN454Ca	FADE
F	A	16-Mar-20	31-Mar-21	CN455Ca	FADE
F	A	16-Mar-20	31-Mar-21	CN456Ca	FADE
F	A	16-Mar-20	31-Mar-21	CN457Ca	FADE
F	A	16-Mar-20	31-Mar-21	CN458Ca	FADE
F	A	16-Mar-20	31-Mar-21	CN459Ca	FADE
F	A	30-Nov-96	10-Feb-97	CN801Wa	FADE
F	A	23-Feb-97	26-Mar-97	CN802Wa	FADE
F	A	30-Nov-96	22-Dec-96	CN803Wa	FADE
F	A	01-Mar-96	24-Dec-96	CN804Wa	FADE
F	A	21-Feb-97	07-Jun-98	CN805Wa	FADE
F	A	16-Mar-96	01-Sep-96	CN806Wa	FADE
F	A	10-Dec-97	10-Oct-98	CN807Wa	PRED
F	A	13-Mar-96	14-Aug-96	CN808Wa	FADE
F	A	13-Mar-96	14-Jun-96	CN809Wa	PRED
F	A	25-Apr-97	04-Nov-97	CN810Wa	FADE
F	A	01-Apr-98	28-Oct-98	CN811Wa	FADE
F	A	02-Mar-96	24-May-96	CN812Wa	PRED
F	A	30-Oct-96	01-Nov-96	CN813Wa	FADE
F	A	25-Apr-97	03-Sep-97	CN814Wa	FADE
F	A	01-Apr-98	03-Sep-98	CN815Wa	FADE
M	A	19-Mar-92	12-Apr-92	CN901Wa	MYOP
F	A	11-Feb-93	12-May-96	CN902Wa	FADE
F	A	08-Apr-91	25-Sep-91	CN903Wa	FADE
F	A	08-Apr-91	24-Nov-95	CN904Wa	UNKN
F	A	29-May-91	14-Jun-92	CN905Ca	UNKN
M	A	08-Apr-91	28-Oct-91	CN906Ca	UNKN
F	A	08-Apr-91	04-Aug-93	CN907Wa	UNKN
F	A	08-Apr-91	10-Apr-95	CN908Wa	FADE
F	A	29-May-91	26-Dec-91	CN909Ca	UNKN
F	A	08-Apr-91	28-Mar-94	CN910Ca	FADE
F	A	08-Apr-91	08-Jun-91	CN911Ca	UNKN
F	A	08-Apr-91	11-Nov-94	CN912Wa	UNKN
F	A	08-Apr-91	29-Nov-95	CN913Wa	FADE
F	A	08-Apr-91	28-Sep-93	CN914Ca	FADE
F	A	18-Apr-91	22-Jul-97	CN915Wa	UNKN
F	A	08-Apr-91	16-May-93	CN916Ca	PRED
M	A	17-Mar-92	28-Sep-93	CN917Ca	FADE
F	A	18-Apr-91	18-Jul-97	CN918Wa	UNKN
F	A	17-Mar-92	22-Aug-98	CN919Ca	PRED
F	A	06-May-92	29-Mar-96	CN920Wa	UNKN
M	A	17-Mar-92	28-Mar-94	CN921Ca	FADE
M	A	08-Apr-91	10-Apr-96	CN922Wa	PRED
M	A	09-Apr-94	31-Dec-94	CN923Wa	FADE
M	A	09-Apr-94	09-Dec-94	CN924Wa	UNKN
M	A	09-Apr-94	17-Mar-96	CN925Wa	FADE
F	A	10-Nov-95	16-May-96	CN926Wa	PRED
F	A	17-Mar-96	25-May-96	CN927Wa	PRED
M	A	10-Nov-95	30-Dec-95	CN928Wa	FADE
M	A	17-Mar-96	16-Sep-96	CN929Wa	UNKN
F	A	06-May-92	23-Aug-95	CN930Wa	UNKN
M	A	10-Nov-95	02-Jan-96	CN931Wa	ACCI
F	A	23-Mar-13	03-Mar-15	CN998Sa	DEAD
F	A	23-Mar-13	11-Sep-14	CN999Sa	DEAD
