Sex	agecl	rstart_dat	rend_dat	animal_id	mortcaus
F	A	14-Mar-17	26-Nov-19	CH206Qa	FADE
F	A	14-Mar-17	05-Aug-19	CH207Qa	DEAD
F	A	14-Mar-17	11-Dec-19	CH208Qa	FADE
F	A	20-Feb-18	31-Mar-20	CH213Qa	FADE
F	A	20-Feb-18	21-Apr-18	CH214Qa	DEAD
F	A	20-Feb-18	25-May-18	CH215Qa	DEAD
F	A	20-Feb-18	21-Feb-19	CH216Qa	FADE
F	A	20-Feb-18	31-Mar-20	CH217Qa	FADE
F	A	14-Mar-19	31-Mar-20	CH218Qa	FADE
F	A	14-Mar-19	31-Mar-20	CH219Qa	FADE
F	A	14-Mar-19	31-Mar-20	CH220Qa	FADE
F	A	14-Mar-19	31-Mar-20	CH221Qa	FADE
M	A	20-Jan-99	07-May-04	CN001Ca	PRED
F	A	23-Dec-12	23-Dec-12	CN001Fa	FADE
F	A	17-Dec-10	24-Mar-12	CN001Na	FADE
F	A	20-Jan-99	26-Apr-03	CN002Ca	PRED
F	A	23-Dec-12	31-Mar-13	CN002Fa	PRED
F	A	17-Dec-10	24-Mar-12	CN002Na	FADE
F	A	16-Jan-13	16-Jan-13	CN003Fa	FADE
F	A	17-Dec-10	25-Mar-12	CN003Na	FADE
F	A	17-Dec-10	24-Mar-12	CN004Na	FADE
F	A	26-Feb-99	28-Jun-01	CN005Ca	PRED
F	A	17-Dec-10	24-Mar-12	CN005Na	FADE
F	A	17-Dec-10	24-Mar-12	CN006Na	FADE
F	A	26-Feb-99	20-Jun-04	CN007Ca	FADE
F	A	18-Dec-10	22-Jun-11	CN007Na	PRED
F	A	18-Dec-10	24-Mar-12	CN008Na	FADE
M	A	26-May-99	26-May-99	CN009Ca	FADE
F	A	19-Dec-10	24-Mar-12	CN009Na	FADE
F	A	20-Jan-99	26-May-01	CN010Ca	PRED
F	A	19-Dec-10	24-Mar-12	CN010Na	FADE
F	A	20-Dec-10	25-Mar-12	CN011Na	FADE
F	A	19-Jan-99	13-Jul-00	CN011Wa	ACCI
F	A	20-Dec-10	06-Jul-11	CN012Na	FADE
F	A	19-Jan-99	13-Jul-05	CN012Wa	PRED
F	A	20-Dec-10	25-Mar-12	CN013Na	FADE
F	A	19-Jan-99	01-Mar-10	CN013Wa	FADE
F	A	20-Dec-10	24-Mar-12	CN014Na	FADE
F	A	19-Jan-99	21-Apr-07	CN014Wa	PRED
F	A	20-Dec-10	25-Jul-11	CN015Na	FADE
F	A	19-Jan-99	31-May-05	CN015Wa	PRED
F	A	20-Dec-10	25-Mar-12	CN016Na	FADE
F	A	19-Jan-99	22-Mar-99	CN016Wa	FADE
F	A	21-Dec-10	24-Mar-12	CN017Na	FADE
F	A	21-Dec-10	25-Mar-12	CN018Na	FADE
F	A	21-Jan-99	17-Apr-01	CN018Wa	UNKN
F	A	21-Dec-10	25-Mar-12	CN019Na	FADE
F	A	21-Dec-10	24-Mar-12	CN020Na	FADE
F	A	08-Apr-91	28-Mar-94	CN021Ca	FADE
F	A	22-Mar-11	24-Mar-12	CN021Na	FADE
F	A	20-Jun-91	20-Mar-99	CN022Ca	FADE
F	A	22-Mar-11	25-Mar-12	CN022Na	FADE
F	A	17-Mar-92	17-Jun-99	CN023Ca	UNKN
F	A	22-Mar-11	24-Mar-12	CN023Na	FADE
F	A	20-Jan-99	20-Mar-99	CN024Ca	UNKN
F	A	22-Mar-11	06-Jul-11	CN024Na	FADE
F	A	22-Mar-11	25-Mar-12	CN025Na	FADE
F	A	11-Apr-96	29-Dec-99	CN025Wa	FADE
F	A	27-Apr-01	03-May-02	CN025Wb	PRED
F	A	22-Mar-11	24-Mar-12	CN026Na	FADE
F	A	17-Mar-96	10-Oct-99	CN026Wa	FADE
F	A	22-Mar-11	24-Mar-12	CN027Na	FADE
F	A	07-Mar-96	19-Feb-97	CN027Wa	FADE
F	A	22-Mar-11	15-May-13	CN028Na	FADE
M	A	17-Mar-96	05-Dec-96	CN028Wa	FADE
F	A	22-Mar-11	25-Mar-12	CN029Na	FADE
F	A	06-May-92	30-Nov-99	CN029Wa	PRED
F	A	22-Mar-11	15-May-13	CN030Na	FADE
F	A	26-May-92	31-Aug-01	CN030Wa	ACCI
F	A	23-Mar-11	25-Mar-12	CN031Na	FADE
M	A	09-Apr-94	17-Nov-02	CN031Wa	UNKN
F	A	23-Mar-11	25-Mar-12	CN032Na	FADE
M	A	09-Apr-94	20-Mar-97	CN032Wa	FADE
F	A	23-Mar-11	24-Mar-12	CN033Na	FADE
F	A	10-Nov-95	06-Feb-05	CN033Wa	ACCI
F	A	23-Mar-11	25-Mar-12	CN034Na	FADE
F	A	10-Nov-95	19-Feb-98	CN034Wa	PRED
F	A	23-Mar-11	24-Mar-12	CN035Na	FADE
F	A	10-Nov-95	04-Feb-99	CN035Wa	FADE
F	A	25-Apr-97	23-Mar-98	CN036Wa	FADE
F	A	19-Dec-98	17-May-06	CN036Wb	PRED
F	A	30-Oct-96	24-Mar-98	CN037Wa	FADE
F	A	12-Dec-98	03-Mar-10	CN037Wb	FADE
F	A	21-Jan-99	09-Feb-00	CN038Wa	PRED
F	A	11-Jun-98	30-Mar-02	CN041Wa	ACCI
F	A	25-Apr-97	24-Dec-04	CN042Wa	PRED
F	A	13-Mar-96	22-May-04	CN043Wa	PRED
F	A	29-Nov-96	25-Mar-00	CN044Wa	PRED
F	A	31-Dec-98	19-Jun-01	CN045Wa	MYOP
F	A	07-Apr-99	02-Mar-10	CN046Wa	FADE
F	A	10-Mar-99	26-Apr-03	CN047Aa	PRED
M	A	06-Mar-99	14-Oct-04	CN048Aa	FADE
F	A	10-Mar-99	20-Oct-12	CN050Aa	FADE
F	A	06-Mar-99	29-May-99	CN051Aa	PRED
M	A	06-Mar-99	05-Apr-00	CN052Aa	PRED
M	A	10-Mar-99	04-Jun-99	CN053Aa	PRED
M	A	06-Mar-99	13-Sep-00	CN054Aa	UNKN
F	A	06-Mar-99	05-Apr-00	CN055Aa	PRED
M	A	08-Mar-99	18-Dec-99	CN056Ca	FADE
F	A	06-Mar-99	09-Apr-99	CN057Aa	PRED
F	A	09-Mar-99	20-Apr-05	CN058Ca	UNKN
F	A	09-Mar-99	10-Jan-01	CN059Ca	FADE
F	A	17-Mar-03	30-May-06	CN059Cb	PRED
F	A	09-Mar-99	05-Sep-08	CN060Ca	HUNT
F	A	08-Mar-99	16-Dec-99	CN061Ca	UNKN
M	A	09-Mar-99	17-Sep-99	CN062Ca	PRED
F	A	08-Mar-99	15-Jan-06	CN063Ca	PRED
M	A	09-Mar-99	13-Apr-99	CN064Ca	FADE
F	A	08-Mar-99	11-Feb-03	CN065Ca	PRED
M	A	09-Mar-99	26-Aug-99	CN066Ca	FADE
F	A	09-Mar-99	08-Dec-03	CN067Ca	PRED
M	A	04-Mar-99	03-May-99	CN068Wa	FADE
M	A	03-Mar-99	12-Dec-01	CN069Wa	FADE
F	A	02-Mar-99	23-Feb-06	CN070Wa	PRED
M	A	03-Mar-99	04-May-00	CN071Wa	PRED
M	A	04-Mar-99	01-Feb-02	CN072Wa	ACCI
F	A	02-Mar-99	24-Dec-99	CN073Wa	UNKN
F	C	25-Jun-99	19-Oct-99	CN074Wa	FADE
F	C	25-Jun-99	17-Sep-99	CN075Wa	FADE
M	C	25-Jun-99	31-Oct-99	CN076Wa	FADE
F	C	26-Jun-99	28-Jun-99	CN077Wa	PRED
M	C	24-Jun-99	02-Jul-99	CN078Ca	PRED
M	C	24-Jun-99	13-Feb-02	CN079Ca	FADE
F	C	24-Jun-99	15-Aug-99	CN080Ca	UNKN
F	C	24-Jun-99	18-Dec-99	CN081Ca	FADE
M	C	24-Jun-99	17-Sep-99	CN082Ca	FADE
F	C	24-Jun-99	27-Jun-99	CN083Ca	PRED
M	C	24-Jun-99	17-Sep-99	CN084Ca	FADE
F	C	26-Jun-99	03-Feb-08	CN085Wa	PRED
M	C	25-Jun-99	17-Jul-99	CN086Wa	PRED
F	C	26-Jun-99	22-Jul-99	CN087Wa	FADE
UNK	C	25-Jun-99	16-Sep-99	CN088Wa	FADE
F	C	25-Jun-99	16-Sep-99	CN089Wa	FADE
