Column Num,Animal Id,Capture Date,Session,Survey,Study Area,Time Start,Time End,Surveyors,General Location,Map Standard,Latitude,Longitude,Zone,Easting,Northing,Spp,Obs #,Sex,Age Class,Age,Age is Estimate,Reproductive Condition,Young,Age of Young,Capture Session Label,Capture Mechanism,Capture Comments,Marking Method,Marking_Type,Marking_Manufacturer,Marking_Serial_Number,Current Mark Number,Current Mark Color,Current Mark Ear,Previous Mark Number,Previous Mark Color,Previous Mark Ear,Current Radio Frequency,Previous Radio Frequency,Mother's Id,Mother's Current Radio Frequency,Young's Id,General Marking Comments,Handling Label,Total Length,Total Length Comment,Shoulder Height,Shoulder Height Comment,Chest Girth,Chest Girth Comment,Neck Girth,Neck Girth Comment,Hind Foot Length,Hind Foot Length Comment,Hind Hoof Length,Hind Hoof Length Comment,Hind Hoof Width,Hind Hoof Width Comment,Weight,Weight Comment,Tail Length,Tail Length Comment,Front Pad Length,Front Pad Length Comment,Front Pad Width,Front Pad Width Comment,Hind Pad Length,Hind Pad Length Comment,Hind Pad Width,Hind Pad Width Comment,Right Horn Length,Right Horn Length Comment,Left Horn Length,Left Horn Length Comment,Skull Length,Skull Length Comment,Zygo Length,Zygo Length Comment,Canine Length,Canine Length Comment,Tooth Wear,Tooth Wear Comments,Vulva Condition,Vulva Condition Comments,Evidence of Nursing,Evidence of Nursing Comments,Pelage Color,Pelage Color Comments,Pelage Condition,Pelage Condition Comments,Scarring,Scarring Comments,Other Comments,Tooth Sample,Tooth Sample - Comments,Blood  Sample,Blood Sample - Comments,Fecal Sample,Fecal Sample - Comments,Parasites Sample,Parasites Sample - Comments,Hair Sample,Hair Sample - Comments,Skin Sample,Skin Sample - Comments,Other Collected Sample,Other Collected Sample - Comments,General Comments
2,M002W,1998-11-24,24,1998 Animal Capture-Radio Collaring,Wolverine,1235,1402,"Scott McNay, Helen Schwantji, Glen Watts",Omineca R. East Germansen,Unk,55 48.50,124 36.00,NA,NA,NA,M-ALAL,,F,Adult,,Estimate,Unk,0,,Wol98Nov,DA,,CT,GPS,Televilt,TP-002-GPS,,,,NA,NA,NA,151.37,,,,,Originally for Grizzly,Wol98Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,NA,,,,,,,,,,,,,,,NA
3,M016F,1998-11-24,24,1998 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Scott McNay, Helen Schwantji, Glen Watts",Omineca R. East Germansen,Unk,55 48.50,124 36.00,NA,NA,NA,M-ALAL,2,F,Adult,Unk,Actual,Unk,Unk,NA,WOL98NOV,DA,No,CT,,,,No,No,No,NA,NA,NA,,,,,,"Moose #3, collar was originally for grizz",WOL98NOV,Unk,,Unk,,Unk,,Unk,,Unk,,Unk,,Unk,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,M001W,1998-11-25,24,1998 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Scott McNay, Helen Schwantji, Glen Watts",Toe @ confluence of Donna & Manson Ck,Unk,55 34.00,124 09.00,NA,NA,NA,M-ALAL,3,F,Adult,Unk,Actual,Unk,Unk,NA,WOL98NOV,DA,No,CT,GPS,Televilt,TP-001-GPS,No,No,No,NA,NA,NA,151.36,,Unk,,,"Moose #4, collar was originally for grizz - Collar slipped after being activated for a few days",WOL98NOV,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,M003W,1998-11-25,24,1998 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Scott McNay, Helen Schwantji, Glen Watts",Toe @ confluence of Donna & Manson Ck,Unk,55 34.00,124 09.00,NA,NA,NA,M-ALAL,4,F,Adult,Unk,Actual,Unk,Unk,NA,WOL98NOV,DA,No,CT,GPS,Televilt,TP-004-GPS,No,No,No,NA,NA,NA,151.39,,Unk,,,"Moose #1, collar was originally for grizz",WOL98NOV,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,C073W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,900,908,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine-Top of Wolverine Range,Unk,55 43.81,124 21.02,NA,NA,NA,M-RATA,1,F,Adult,4-6 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811019C-VHF,2,Red,Unk,NA,NA,NA,149.69,,Unk,,,No,WOL99MAR,190.5,NA,116.8,NA,106.7,NA,50.8,NA,Unk,NA,10.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 6 animals,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Group of 6 animals
7,C038W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,940,946,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine-Top of Wolverine Range,Unk,55 45.58,124 20.03,NA,NA,NA,M-RATA,2,F,Adult,<4 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811020C-VHF,5,Red,Unk,Unk,Unk,Unk,149.78,151.9,Unk,,C075W,No,WOL99MAR,195.6,NA,121.9,NA,121.9,NA,53.3,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Min,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,"Cow and Calf, replaced GPS collar (151.900) with current ",No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,HAIR,"Cow and Calf, replaced GPS collar (151.900) with current "
8,C070W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1020,1029,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine-Top of Wolverine Range,Unk,55 47.48,124 20.96,NA,NA,NA,M-RATA,3,F,Adult,4-6 Yrs,Estimate,Unk,0,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811016C-VHF,13,Red,Unk,NA,NA,NA,149.61,,Unk,,"C090W, C146W, C197W",No,WOL99MAR,203.2,NA,129.5,NA,132.1,NA,61,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 7 animals,No,No,Yes,* 2 blood samples ID 149.610,No,No,No,No,No,No,No,No,No,NO,Group of 7 animals
9,M038W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1100,1120,"Rick Erasmus, Barry Scott, Clay Wilson",Omineca R / Blue Lk Area,Unk,55 48.86,124 30.30,NA,NA,NA,M-ALAL,4,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811053M-VHF,23,Red,Unk,NA,NA,NA,149.87,,Unk,,,No,WOL99MAR,299.7,NA,200.7,NA,182.9,NA,96.5,NA,Unk,NA,17.8,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,"Group of 1 animal, Good shape and big",No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Group of 1 animal, Good shape and big"
10,M032W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1204,1218,"Rick Erasmus, Barry Scott, Clay Wilson",Meadow- Blue Lake,Unk,55 52.26,124 29.98,NA,NA,NA,M-ALAL,5,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811047M-VHF,18,Red,Unk,NA,NA,NA,149.81,,Unk,,,No,WOL99MAR,304.8,NA,177.8,NA,182.9,NA,96.5,NA,Unk,NA,17.8,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,"Group of 1 animal, Blind in right eye",No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Group of 1 animal, Blind in right eye"
11,W021W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1400,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",In Timber - Wolverine Lk,Unk,55 43.53,124 29.91,NA,NA,NA,M-CALU,6,F,Adult,4-6 Yrs,Estimate,Unk,Unk,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811075W-VHF,7,Red,Unk,NA,NA,NA,149.91,,Unk,,,No,WOL99MAR,121.9,NA,Unk,NA,66,NA,45.7,NA,7.6,NA,NA,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,UNK,NA,Unk,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,Min,No,Unk,No,Unk,No,Black,No,Unk,No,Unk,No,"Group of 7 - 1 Blue, 1 Grey, 5 Black",No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Group of 7 - 1 Blue, 1 Grey, 5 Black"
12,M030W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",River bottom south of Germansen landing,Unk,55 44.00,124 40.00,NA,NA,NA,M-ALAL,7,F,Adult,>6 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811045M-VHF,8,Red,Unk,NA,NA,NA,149.79,,Unk,,,No,WOL99MAR,266.7,NA,190.5,NA,182.9,NA,73.7,NA,15.2,NA,UNK,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 2 animals Cow and Calf ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Group of 2 animals Cow and Calf 
13,M040W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",East Germansen Landing,Unk,55 46.00,124 39.00,NA,NA,NA,M-ALAL,8,F,Adult,4-6 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811055M-VHF,14,Red,Unk,NA,NA,NA,149.89,,Unk,,,No,WOL99MAR,294.6,NA,203.2,NA,203.2,NA,76.7,NA,17.8,NA,UNK,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 2 animals Cow and Calf ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Group of 2 animals Cow and Calf 
14,C069W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine Range north of Germansen Lk,Unk,55 45.01,124 48.62,NA,NA,NA,M-RATA,9,M,Adult,>6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,GPS,Televilt,TP-G01TX-055-GPS,24,Red,Left,NA,NA,NA,149.38,,Unk,,,No,WOL99MAR,251.5,NA,147.3,NA,152.4,NA,86.4,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,Group of 2 old Bulls; animal in good shape,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Group of 2 old Bulls; animal in good shape
15,C071W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine Range north of Germansen Lk,Unk,55 45.42,124 48.77,NA,NA,NA,M-RATA,10,M,Adult,<4 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811017C-VHF,21,Red,Unk,NA,NA,NA,149.63,,Unk,,,No,WOL99MAR,205.7,NA,119.4,NA,127,NA,66,NA,Unk,NA,15.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Min,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,"Group of ~6 animals (incl 1 female, 1 calf)",No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,"Group of ~6 animals (incl 1 female, 1 calf)"
16,M037W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Creek bottom/Jackfish Ck,Unk,55 49.68,124 35.45,NA,NA,NA,M-ALAL,11,F,Adult,>6 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811052M-VHF,11,Red,Unk,NA,NA,NA,149.86,,Unk,,,No,WOL99MAR,284.5,NA,185.4,NA,203.2,NA,76.2,NA,Unk,NA,15.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,Heavy,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
17,M035W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Jackfish Ck,Unk,55 45.66,124 33.00,NA,NA,NA,M-ALAL,12,M,Adult,<4 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811050M-VHF,10,Red,Unk,NA,NA,NA,149.84,,Unk,,,No,WOL99MAR,289.6,NA,193,NA,177.8,NA,71.1,NA,Unk,NA,15.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Min,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,"Group of 1 animal, Good shape",No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Group of 1 animal, Good shape"
18,M041W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Lower Manson Lake,Unk,55 37.50,124 21.40,NA,NA,NA,M-ALAL,13,F,Adult,>6 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811056M-VHF,22,Red,Unk,NA,NA,NA,149.9,,Unk,,,No,WOL99MAR,297.1,NA,188,NA,193,NA,71.1,NA,Unk,NA,14,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 2 animals Cow and Calf ,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Group of 2 animals Cow and Calf 
19,M034W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,1332,1341,"Rick Erasmus, Barry Scott, Clay Wilson",Manson Lake,Unk,55 37.49,124 21.40,NA,NA,NA,M-ALAL,14,F,Adult,4-6 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811049M-VHF,1,Red,Unk,NA,NA,NA,149.83,,Unk,,,No,WOL99MAR,269.2,NA,177.8,NA,182.9,NA,81.3,NA,Unk,NA,14,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 2 animals Cow and Calf ,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Group of 2 animals Cow and Calf 
20,M036W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Omineca R / Blue Lk Area,Unk,55 51.34,124 34.01,NA,NA,NA,M-ALAL,15,F,Adult,4-6 Yrs,Estimate,Unk,0,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811051M-VHF,16,Red,Unk,NA,NA,NA,149.85,,Unk,,,No,WOL99MAR,276.9,NA,157.5,NA,178,NA,73.7,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 1 animal,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Group of 1 animal
21,M039W,1999-03-03,4,1999 Animal Capture-Radio Collaring,Wolverine,1640,1652,"Rick Erasmus, Barry Scott, Clay Wilson",Creek Bottom/ Meadow by Blue Lk,Unk,55 51.37,124 34.30,NA,NA,NA,M-ALAL,16,M,Adult,>6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811054M-VHF,4,Red,Unk,NA,NA,NA,149.88,,Unk,,,No,WOL99MAR,304.8,NA,195.6,NA,193,NA,91.4,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,"Group of 1 animal, Good shape",No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Group of 1 animal, Good shape"
22,M031W,1999-03-04,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson","Swamp, Omineca R/Nina Ck",Unk,55 49.06,124 52.41,NA,NA,NA,M-ALAL,17,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811046M-VHF,11,Red,Unk,NA,NA,NA,149.8,,Unk,,,No,WOL99MAR,279.4,NA,182.9,NA,177.8,NA,81.3,NA,Unk,NA,15.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,Group of 1 animal,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Group of 1 animal
23,C068W,1999-03-04,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Wolverine Range,Unk,55 49.90,124 24.91,NA,NA,NA,M-RATA,18,M,Adult,6,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,GPS,Televilt,TP-G01TX-054-GPS,25,Red,Unk,NA,NA,NA,149.37,,Unk,,,No,WOL99MAR,228.6,NA,152.4,NA,152.4,NA,76.2,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,Group of 6 animals,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Group of 6 animals
24,C072W,1999-03-04,4,1999 Animal Capture-Radio Collaring,Wolverine,1020,1030,"Rick Erasmus, Barry Scott, Clay Wilson",Blue Lake,Unk,55 47.90,124 29.91,NA,NA,NA,M-RATA,19,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811018C-VHF,17,Red,Unk,NA,NA,NA,149.67,,Unk,,,No,WOL99MAR,218.4,NA,142.2,NA,142.2,NA,76.2,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,Skinny,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Skinny
25,M033W,1999-03-04,4,1999 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",Unk,Unk,55 48.99,124 53.41,NA,NA,NA,M-ALAL,20,M,Adult - Old,>7 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811048M-VHF,15,Red,Unk,NA,NA,NA,149.82,,Unk,,,No,WOL99MAR,281.9,NA,177.8,NA,203.2,NA,86.4,NA,Unk,NA,15.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
26,M010A,1999-03-05,4,1999 Animal Capture-Radio Collaring,Akie/Ospika,930,Unk,"Rick Erasmus, Barry Minor, Clay Wilson",Akie R,Unk,57 20.39,124 53.27,NA,NA,NA,M-ALAL,21,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,AKI99MAR,NG,No,CT,VHF,Lotek,LK-T9811025M-VHF,Unk,Red,Unk,NA,NA,NA,148.35,,Unk,,,No,AKI99MAR,289.6,NA,208.3,NA,203.2,NA,96.5,NA,Unk,NA,15.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,Group of two (With cow 148.322),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Group of two (With cow 148.322)
27,M017A,1999-03-05,4,1999 Animal Capture-Radio Collaring,Akie/Ospika,1000,1015,"Rick Erasmus, Barry Minor, Clay Wilson",Akie R,Unk,57 13.91,124 57.14,NA,NA,NA,M-ALAL,22,M,Adult,>6 Yrs,Estimate,NA,NA,NA,AKI99MAR,NG,No,CT,VHF,Lotek,LK-T9811032M-VHF,30,Red,Unk,NA,NA,NA,148.42,,Unk,,,No,AKI99MAR,304.8,NA,203.2,NA,203.2,NA,91.4,NA,Unk,NA,14,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,Group of 3 animals,No,No,No,No,No,No,No,No,No,No,No,No,No,data form indicates some sample collected but none found (GK2002),Group of 3 animals
28,M016A,1999-03-05,4,1999 Animal Capture-Radio Collaring,Akie/Ospika,1030,1040,"Rick Erasmus, Barry Minor, Clay Wilson",Akie R,Unk,57 13.90,124 57.14,NA,NA,NA,M-ALAL,23,F,Adult,8,Estimate,Unk,1,10 Mths,AKI99MAR,NG,No,CT,VHF,Lotek,LK-T9811031M-VHF,Unk,Red,Unk,NA,NA,NA,148.41,,Unk,,,No,AKI99MAR,269.2,NA,185.4,NA,172.7,NA,66,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Skinny Cow with small calf,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Skinny Cow with small calf
29,M007A,1999-03-05,4,1999 Animal Capture-Radio Collaring,Akie/Ospika,Unk,Unk,"Rick Erasmus, Barry Minor, Clay Wilson",Akie R,Unk,57 20.39,124 53.27,NA,NA,NA,M-ALAL,24,F,Adult,4-6 Yrs,Estimate,Unk,0,NA,AKI99MAR,NG,No,CT,VHF,Lotek,LK-T9811022M-VHF,49,Red,Unk,NA,NA,NA,148.32,,Unk,,,No,AKI99MAR,266.7,NA,195.6,NA,193,NA,71.1,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 2 animals (with 148.351) ,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Group of 2 animals (with 148.351) 
30,W017A,1999-03-05,4,1999 Animal Capture-Radio Collaring,Akie/Ospika,Unk,Unk,"Rick Erasmus, Barry Minor, Clay Wilson","Top of Mtn, west of Akie R",Unk,57 11.77,124 58.76,NA,NA,NA,M-CALU,25,F,Adult,4,Estimate,Unk,Unk,NA,AKI99MAR,NG,No,CT,VHF,Lotek,LK-T9811062W-VHF,9,Red,Unk,NA,NA,NA,148.48,,Unk,,,No,AKI99MAR,109.2,NA,83.8,NA,76.2,NA,48.3,NA,Unk,NA,NA,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,7.6,NA,Unk,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,Unk,No,Unk,No,Unk,No,Black,No,Unk,No,Unk,No,5 black wolves seen,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,5 black wolves seen
31,W018A,1999-03-05,4,1999 Animal Capture-Radio Collaring,Akie/Ospika,Unk,Unk,"Rick Erasmus, Barry Minor, Clay Wilson","Del Ck, No GPS during capture, Found week later at 57 17.50, 125 12.30",NA,NA,NA,NA,NA,NA,M-CALU,26,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,AKI99MAR,NG,"No GPS loc taking at capture - Found week later at 57 17.50, 125 12.30",CT,VHF,Lotek,LK-T9811063W-VHF,Unk,Red,Unk,NA,NA,NA,148.49,,Unk,,,No,AKI99MAR,144.8,NA,83.8,NA,101.6,NA,45.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,8.9,NA,Unk,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,Unk,No,NA,NA,NA,NA,Grey,No,Unk,No,Unk,No,"No GPS when collared, located 1 week later at 57 17.50, 125 12.30",No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No GPS when collared, located 1 week later at 57 17.50, 125 12.30"
