Column Num,Animal Id,Capture Date,Session,Survey,Study Area,Time Start,Time End,Surveyors,General Location,Map Standard,Latitude,Longitude,Zone,Easting,Northing,Spp,Obs #,Sex,Age Class,Age,Age is Estimate,Reproductive Condition,Young,Age of Young,Capture Session Label,Capture Mechanism,Capture Comments,Marking Method,Marking_Type,Marking_Manufacturer,Marking_Serial_Number,Current Mark Number,Current Mark Color,Current Mark Ear,Previous Mark Number,Previous Mark Color,Previous Mark Ear,Current Radio Frequency,Previous Radio Frequency,Mother's Id,Mother's Current Radio Frequency,Young's Id,General Marking Comments,Handling Label,Total Length,Total Length Comment,Shoulder Height,Shoulder Height Comment,Chest Girth,Chest Girth Comment,Neck Girth,Neck Girth Comment,Hind Foot Length,Hind Foot Length Comment,Hind Hoof Length,Hind Hoof Length Comment,Hind Hoof Width,Hind Hoof Width Comment,Weight,Weight Comment,Tail Length,Tail Length Comment,Front Pad Length,Front Pad Length Comment,Front Pad Width,Front Pad Width Comment,Hind Pad Length,Hind Pad Length Comment,Hind Pad Width,Hind Pad Width Comment,Right Horn Length,Right Horn Length Comment,Left Horn Length,Left Horn Length Comment,Skull Length,Skull Length Comment,Zygo Length,Zygo Length Comment,Canine Length,Canine Length Comment,Tooth Wear,Tooth Wear Comments,Vulva Condition,Vulva Condition Comments,Evidence of Nursing,Evidence of Nursing Comments,Pelage Color,Pelage Color Comments,Pelage Condition,Pelage Condition Comments,Scarring,Scarring Comments,Other Comments,Tooth Sample,Tooth Sample - Comments,Blood  Sample,Blood Sample - Comments,Fecal Sample,Fecal Sample - Comments,Parasites Sample,Parasites Sample - Comments,Hair Sample,Hair Sample - Comments,Skin Sample,Skin Sample - Comments,Other Collected Sample,Other Collected Sample - Comments,General Comments
544,C252W,2008-02-20,4,2008 Animal Capture - Radio Collaring,Wolverine,Unk,1100,"Greg Altoft, Brad Culling, Daris Piper, Fraser MacDonald","Osilinka Range, West Discovery Creek",NAD83,NA,NA,10,359903,6195443,M-RATA,,F,Adult,03-Feb,Estimate,Unk,0,NA,WOL08FEB,NG,Group of 4,CT,VHF,Lotek,LK-13020-VHF,452,Yellow,Right,NA,NA,NA,149.53,,,,,No,WOL08FEB,213,No,121,No,232,No,49,No,58,No,8.2,No,8.5,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Min,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
545,C253W,2008-02-20,4,2008 Animal Capture - Radio Collaring,Wolverine,1450,Unk,"Greg Altoft, Brad Culling, Daris Piper, Fraser MacDonald",North Wolverine,NAD83,NA,NA,10,409689,6211128,M-RATA,,F,Adult,03-Feb,Estimate,Unk,0,NA,WOL08FEB,NG,No,CT,VHF,Lotek,LK-13009-VHF,440,Yellow,Right,NA,NA,NA,149.17,,,,,No,WOL08FEB,207,No,126,No,132,No,78,No,60.5,No,9.5,No,9.2,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Min,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
546,C254W,2008-02-20,4,2008 Animal Capture - Radio Collaring,Wolverine,1530,Unk,"Greg Altoft, Brad Culling, Daris Piper, Fraser MacDonald",North Wolverines,NAD83,NA,NA,10,412441,6205595,M-RATA,,F,Adult - Mature,10-Aug,Estimate,Unk,0,NA,WOL08FEB,NG,Group of 8,CT,VHF,Lotek,LK-13014-VHF,467,Yellow,Left,NA,NA,NA,149.32,,,,,No,WOL08FEB,215,No,125,No,138,No,53,No,59.5,No,8.3,No,8.6,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Heavy,Absessed tooth at one time,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
547,C255W,2008-02-20,4,2008 Animal Capture - Radio Collaring,Wolverine,1615,Unk,"Greg Altoft, Brad Culling, Daris Piper, Fraser MacDonald",North Wolverines,NAD83,NA,NA,10,413491,6195855,M-RATA,,F,Adult,05-Mar,Estimate,RE,0,NA,WOL08FEB,NG,Group of 10,CT,VHF,Lotek,LK-13008-VHF,339,Yellow,Left,NA,NA,NA,149.16,,,,,No,WOL08FEB,209,No,124,No,238,No,52,No,60,No,9.7,No,10.2,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Min,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
548,C256C,2008-02-21,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1410,Unk,"Greg Altoft, Brad Culling, Randy Sulyma, Fraser MacDonald",Tenakihi Range,NAD83,NA,NA,10,388844,6234265,M-RATA,,F,Adult - Mature,08-Jun,Estimate,Unk,0,NA,CHA08FEB,NG,Group of 10,CT,VHF,Lotek,LK-13011-VHF,345,Yellow,Right,NA,NA,NA,149.24,,,,,No,CHA08FEB,215,No,120,No,134,No,51,No,61,No,9.7,No,10,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Mod,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
549,C257C,2008-02-21,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1445,Unk,"Greg Altoft, Brad Culling, Randy Sulyma, Fraser MacDonald",Tenakihi Range,NAD83,NA,NA,10,391046,6225176,M-RATA,,F,Adult,04-Mar,Estimate,RE,0,NA,CHA08FEB,NG,Group of 13,CT,VHF,Lotek,LK-13005-VHF,411,Yellow,Right,NA,NA,NA,149.04,,,,,No,CHA08FEB,220,No,126,No,138,No,51,No,62.5,No,8.8,No,8.5,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Min,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
550,C258C,2008-02-22,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1055,Unk,"Greg Altoft, Brad Culling, Robin Steenweg, Fraser MacDonald",Butler Range,NAD83,NA,NA,10,393567,6262171,M-RATA,,F,Adult,05-Mar,Estimate,Unk,0,NA,CHA08FEB,NG,Group of 10,CT,VHF,Lotek,LK-13013-VHF,330,Yellow,Left,NA,NA,NA,149.31,,,,,No,CHA08FEB,217,No,125,No,132,No,49,No,60,No,10.3,No,9.2,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Min,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,N0,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
551,C259C,2008-02-22,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1125,Unk,"Greg Altoft, Brad Culling, Fraser MacDonald, Robin Steenweg",Factor Ross,NAD83,NA,NA,10,394206,6265175,M-RATA,,F,Adult,03-Feb,Estimate,Unk,0,NA,CHA08FEB,NG,Group of 4,CT,VHF,Lotek,LK-12999-VHF,269,Yellow,Right,NA,NA,NA,148.49,,,,,No,CHA08FEB,218,No,121,No,130,No,47,No,58,No,8.5,No,9,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Min,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Lost left antler during capture,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Lost left antler during capture
552,C260C,2008-02-22,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1210,Unk,"Greg Altoft, Brad Culling, Fraser MacDonald, Robin Steenweg",Factor Ross,NAD83,NA,NA,10,394043,6267416,M-RATA,,F,Adult - Old,12,Estimate,Unk,0,NA,CHA08FEB,NG,Group of 12,CT,VHF,Lotek,LK-13025-VHF,494,Yellow,Right,NA,NA,NA,149.63,,,,,No,CHA08FEB,224,No,127,No,130,No,53.5,No,61,No,9.4,No,9.2,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Heavy,No,Normal,No,Normal,With calf in group,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
553,C261C,2008-02-22,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1505,Unk,"Greg Altoft, Brad Culling, Robin Steenweg, Fraser MacDonald",NW Ravenal Creek,NAD83,NA,NA,10,362368,6272306,M-RATA,,F,Adult - Mature,08-Jun,Estimate,RE,0,NA,CHA08FEB,NG,Group of 6,CT,VHF,Lotek,LK-13015-VHF,456,Yellow,Right,NA,NA,NA,149.33,,,,,No,CHA08FEB,225,No,124,No,144,No,53,No,61,No,8.5,No,9.5,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Mod,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
554,C262C,2008-02-22,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1530,Unk,"Greg Altoft, Brad Culling, Robin Steenweg, Fraser MacDonald",Ravenall Creek,NAD83,NA,NA,10,366986,6266419,M-RATA,,F,Adult,05-Mar,Actual,Unk,0,NA,CHA08FEB,NG,Group of 7,CT,VHF,Lotek,LK-13024-VHF,455,Yellow,Left,NA,NA,NA,149.62,,,,,No,CHA08FEB,224,No,124,No,132,No,53,No,62,No,8.5,No,9.2,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Min,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
555,C263C,2008-02-23,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1426,Unk,"Greg Altoft, Brad Culling, Fraser MacDonald",East of Cutbank Creek,NAD83,NA,NA,10,339752,6285180,M-RATA,,F,Adult - Mature,10,Estimate,RE,0,NA,CHA08FEB,NG,Group of 9,CT,VHF,Lotek,LK-13001-VHF,312,Yellow,Left,NA,NA,NA,148.66,,,,,No,CHA08FEB,209,No,121,No,129,No,49,No,56.5,No,8.5,No,8.7,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Mod,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
556,C060C,2008-02-23,4,2008 Animal Capture - Radio Collaring,Chase/Sustut,1310,Unk,"Greg Altoft, Brad Culling, Fraser MacDonald",Wrede Creek,NAD83,NA,NA,10,337738,6292380,M-RATA,,F,Adult - Old,10 +,Estimate,RE,0,NA,CHA08FEB,NG,Group of 3.  Recapture.  8839,CT,VHF,Lotek,LK-13003-VHF,24,Yellow,Right,37,Red,Left,148.82,148.84,Unk,,"C143C, C175C, C203C","Already had a tag in each ear, did not put a new one in.",CHA08FEB,223,No,123,No,136,No,55,No,57,No,9.6,No,9.6,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Mod,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
557,C264C,2008-02-24,5,2008 Animal Capture - Radio Collaring,Chase/Sustut,1000,Unk,"Greg Altoft, Brad Culling, Bryan Halvorson, Fraser MacDonald",Flatfish Lake,NAD83,NA,NA,10,375985,6256060,M-RATA,,F,Adult - Old,12-Oct,Estimate,Unk,1,Unk,CHA08FEB,NG,Group of 8.  Captured cow had a calf.,CT,VHF,Lotek,LK-13010-VHF,446,Yellow,Left,NA,NA,NA,149.19,,,,,No,CHA08FEB,217,No,125,No,140,No,49,No,60,No,9.4,No,9.6,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Heavy,missing incisor,Normal,No,Normal,No,Typical,No,Good,No,No,No,Caught cow had a calf.,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Caught cow had a calf.
558,C265C,2008-02-24,5,2008 Animal Capture - Radio Collaring,Chase/Sustut,1030,Unk,"Brad Culling, Greg Altoft, Bryan Halvorson, Fraser MacDonald",South of Flatfish Lake,NAD83,NA,NA,10,375320,6254847,M-RATA,,F,Adult,5,Estimate,Unk,0,NA,CHA08FEB,NG,Group of 5,CT,VHF,Lotek,LK-13002-VHF,254,Yellow,Left,NA,NA,NA,148.78,,,,,No,CHA08FEB,215,No,121,No,136,No,50,No,60,No,8.5,No,9.2,No,Unk,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,Mod,No,Normal,No,Normal,No,Typical,No,Good,No,No,No,Antlers,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Antlers
