Sex,calfrstart_dat,agecl,rstart_dat,rend_dat,animal_id,mortcaus,herd,yrstart
F,,A,08-Apr-91,28-Sep-93,CN914Ca,FADE,C,1991
F,,A,18-Apr-91,22-Jul-97,CN915Wa,UNKN,W,1991
F,,A,08-Apr-91,16-May-93,CN916Ca,PRED,C,1991
M,,A,17-Mar-92,28-Sep-93,CN917Ca,FADE,C,1992
F,,A,18-Apr-91,18-Jul-97,CN918Wa,UNKN,W,1991
F,,A,17-Mar-92,22-Aug-98,CN919Ca,PRED,C,1992
F,,A,06-May-92,29-Mar-96,CN920Wa,UNKN,W,1992
M,,A,17-Mar-92,28-Mar-94,CN921Ca,FADE,C,1992
M,,A,08-Apr-91,10-Apr-96,CN922Wa,PRED,W,1991
M,,A,09-Apr-94,31-Dec-94,CN923Wa,FADE,W,1994
M,,A,09-Apr-94,09-Dec-94,CN924Wa,UNKN,W,1994
M,,A,09-Apr-94,17-Mar-96,CN925Wa,FADE,W,1994
F,,A,10-Nov-95,16-May-96,CN926Wa,PRED,W,1995
F,,A,17-Mar-96,25-May-96,CN927Wa,PRED,W,1996
M,,A,10-Nov-95,30-Dec-95,CN928Wa,FADE,W,1995
M,,A,17-Mar-96,16-Sep-96,CN929Wa,UNKN,W,1996
F,,A,06-May-92,23-Aug-95,CN930Wa,UNKN,W,1992
M,,A,10-Nov-95,02-Jan-96,CN931Wa,ACCI,W,1995
F,,A,23-Mar-13,03-Mar-15,CN998Sa,DEAD,S,2013
F,,A,23-Mar-13,11-Sep-14,CN999Sa,DEAD,S,2013
